Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,0.0,0.0,0.0,69.0,5.0,0.0,0.0,2.0,0.0,41.0,160.0,0.0,36.0,29.0,0.0,100.0,30.0,72.0,0.0,6.0,25.0,0.0,0.0,7.0,26.0,0.0,0.0,46.0,0.0,0.0,0.0,22.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0,53.0,0.0,22.0,0.0,0.0,0.0,29.0,0.0,4.0,14.0
0.0,0.0,0.0,0.0,96.0,14.0,0.0,9.0,23.0,0.0,167.0,100.0,7.0,94.0,41.0,0.0,74.0,67.0,77.0,0.0,0.0,47.0,0.0,11.0,13.0,44.0,0.0,45.0,52.0,0.0,0.0,0.0,143.0,0.0,25.0,0.0,0.0,1.0,53.0,0.0,11.0,0.0,0.0,0.0,14.0,1.0,38.0,0.0,32.0,30.0
0.0,0.0,0.0,0.0,98.0,33.0,0.0,13.0,29.0,0.0,37.0,0.0,20.0,31.0,40.0,0.0,0.0,16.0,0.0,0.0,0.0,56.0,0.0,25.0,8.0,53.0,111.0,50.0,6.0,0.0,0.0,0.0,128.0,0.0,60.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,43.0,0.0,18.0,35.0
0.0,0.0,0.0,0.0,0.0,37.0,0.0,12.0,32.0,0.0,0.0,0.0,18.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,23.0,33.0,2.0,107.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,55.0,0.0,0.0,11.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,14.0,31.0
0.0,0.0,0.0,0.0,10.0,32.0,0.0,13.0,19.0,0.0,0.0,0.0,40.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,34.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,14.0,42.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
0.0,0.0,0.0,67.0,0.0,13.0,0.0,11.0,20.0,0.0,0.0,0.0,21.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,17.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,8.0,21.0
0.0,0.0,0.0,3.0,0.0,7.0,0.0,4.0,12.0,0.0,0.0,0.0,13.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,16.0,13.0
0.0,0.0,0.0,16.0,0.0,12.0,0.0,5.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,9.0,9.0
0.0,0.0,0.0,17.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0
